1,89,5
1,125,1
1,167,1
2,65,1
2,78,3
2,94,5
2,138,1
2,159,1
3,67,5
3,92,1
3,95,3
3,102,4
3,125,4
3,132,2
4,72,1
4,122,4
4,163,4
5,128,2
6,64,1
6,106,5
7,107,4
7,149,1
7,170,4
8,65,4
8,92,3
8,116,1
9,76,5
9,99,2
9,157,3
10,68,5
10,83,3
10,107,4
10,125,2
10,140,5
10,155,2
11,89,3
11,93,3
11,136,4
12,162,3
12,164,3
13,103,5
13,146,1
14,97,1
14,165,1
15,70,4
15,72,2
15,154,1
16,66,2
16,78,5
16,114,4
17,62,3
18,81,4
18,142,3
18,150,5
19,111,3
19,118,4
19,175,5
20,79,3
21,76,4
21,87,3
21,89,2
22,77,3
22,155,4
23,134,4
24,80,4
24,83,1
24,100,3
24,132,2
25,71,2
25,157,5
26,63,1
26,87,3
26,157,3
27,62,2
27,86,5
28,67,1
28,151,5
29,100,1
29,109,4
29,150,5
30,76,5
30,77,5
30,144,1
30,149,5
30,171,4
31,101,3
31,105,1
31,129,2
32,109,2
32,128,1
33,130,3
33,164,4
33,176,1
34,63,2
34,97,2
34,147,1
34,170,1
35,103,5
35,132,1
35,154,2
35,163,2
36,101,1
36,116,3
36,159,3
36,168,2
37,111,5
38,112,2
38,131,1
38,137,5
38,155,5
39,131,5
39,155,5
40,75,2
40,88,5
40,130,5
41,102,5
41,113,4
41,115,3
41,128,1
41,152,1
41,158,5
42,70,4
42,93,4
43,62,5
43,78,1
43,133,3
44,96,5
44,138,3
44,139,4
44,160,1
44,168,3
45,70,4
45,140,5
46,68,3
46,142,3
46,150,3
47,84,1
48,160,4
48,167,3
48,173,4
49,84,1
49,121,2
50,93,2
50,126,3
51,72,5
51,130,5
51,148,5
52,115,3
52,126,3
53,65,2
53,90,1
53,142,4
54,100,4
54,111,2
54,145,4
55,62,4
55,78,4
55,120,5
55,124,3
56,74,1
56,92,2
56,124,2
56,148,3
57,163,1
58,155,4
58,171,5
59,68,4
59,175,3
60,63,1
60,92,1
60,109,2
60,121,4
60,122,1
61,63,3
61,72,4
61,157,5
62,144,4
63,69,4
63,96,5
63,106,4
63,123,1
63,136,2
63,152,5
64,95,3
64,105,1
64,136,3
64,148,1
64,174,5
65,129,5
65,152,1
65,166,2
66,83,5
66,89,4
66,152,4
67,64,4
67,85,3
68,171,2
69,96,5
69,98,2
69,163,2
70,82,4
70,133,4
70,137,3
70,166,5
71,89,1
71,108,4
71,160,5
72,68,1
72,75,1
72,93,1
72,144,4
73,81,3
73,101,2
74,94,5
74,128,4
75,155,4
76,80,3
76,84,3
76,98,4
76,146,1
76,170,5
77,66,5
77,124,3
77,140,4
77,155,1
78,113,2
78,125,5
79,67,2
79,165,5
79,173,4
80,82,4
80,91,5
80,97,5
80,133,2
80,141,4
81,88,5
81,91,3
81,139,2
82,138,5
82,147,2
83,96,1
83,156,2
83,167,3
84,98,5
84,158,1
84,173,5
85,136,5
85,152,2
85,168,3
86,97,3
86,141,3
87,144,4
87,151,2
88,61,1
88,119,5
89,135,3
89,154,3
90,79,5
91,69,5
91,135,3
91,161,2
92,62,4
92,150,5
93,95,2
93,99,3
93,121,2
93,174,2
94,161,4
95,64,2
96,69,2
96,111,4
96,127,2
96,176,1
97,100,1
97,129,2
98,108,1
98,139,4
98,171,3
99,143,5
100,112,5
100,135,4
100,138,3
100,167,1
101,90,1
101,165,2
102,64,4
102,124,1
102,156,1
103,77,2
103,111,5
104,62,3
104,117,1
104,172,3
105,97,2
105,131,2
106,109,2
106,132,1
106,151,2
106,158,1
107,88,3
107,168,4
108,96,5
109,69,4
110,67,3
110,70,4
111,66,5
111,153,4
111,162,1
112,124,1
112,162,5
113,62,4
113,114,2
113,170,1
114,96,1
114,168,2
115,67,3
115,107,3
115,133,2
116,83,5
116,166,3
117,109,1
117,142,1
118,100,2
118,169,1
119,116,3
120,104,5
121,130,3
122,65,2
122,68,3
122,166,1
123,135,3
123,148,4
124,72,5
124,90,3
124,95,4
124,160,3
124,162,4
124,175,1
125,75,1
125,123,3
125,139,3
125,146,2
125,149,1
126,111,5
126,155,2
126,168,3
127,66,2
127,125,3
128,109,4
128,143,5
129,65,2
129,98,2
130,105,5
130,164,1
131,81,5
131,107,1
132,119,3
132,165,3
133,64,5
133,70,4
134,96,5
134,132,3
135,127,4
135,160,5
136,69,2
137,171,5
138,70,1
138,123,1
138,151,2
139,117,5
139,143,5
140,86,3
140,88,4
140,90,2
140,131,1
141,81,4
141,122,1
142,111,1
142,126,3
143,78,2
143,145,5
143,156,5
144,85,2
144,133,5
145,63,1
145,66,1
145,73,3
145,75,3
145,130,5
146,131,5
147,90,1
147,104,5
147,156,3
148,105,3
148,108,3
148,120,3
149,133,1
149,172,2
150,75,4
150,149,3
151,67,3
151,85,2
151,140,1
151,168,4
152,112,3
152,157,3
153,88,5
153,136,3
154,130,2
155,112,2
155,171,4
156,86,4
156,94,1
156,126,1
156,169,2
156,171,4
157,158,2
158,80,2
158,105,5
158,164,5
159,81,4
159,173,4
160,128,5
161,121,5
161,136,2
161,150,1
162,136,3
163,169,5
164,96,1
164,115,4
164,129,4
164,172,4
165,64,5
165,82,3
165,90,1
166,95,2
167,107,2
168,62,4
169,81,1
169,101,5
169,153,3
170,61,3
170,65,3
170,79,3
170,109,5
170,145,5
171,117,4
171,138,2
171,168,1
172,78,2
172,84,3
172,125,2
173,112,5
173,147,2
173,167,1
174,114,3
174,116,4
174,141,4
175,89,2
175,114,1
175,157,3
175,172,5
176,90,4
177,99,5
177,118,3
178,120,4
178,126,5
178,135,3
179,142,4
180,68,2
180,81,4
180,87,5
180,116,4
180,128,5
181,66,3
181,79,1
182,138,5
182,154,1
183,81,3
183,137,3
183,151,4
183,164,2
184,127,2
184,146,1
184,164,5
185,73,3
185,121,5
186,62,3
186,84,5
186,98,2
186,143,3
187,102,3
187,104,4
188,84,3
188,98,3
188,145,2
188,145,3
188,151,3
188,167,5
189,93,1
189,133,5
190,68,1
190,89,3
190,139,5
190,163,3
191,106,5
191,141,2
191,175,4
192,75,1
192,89,3
192,90,4
192,99,2
192,139,2
193,92,5
193,115,2
193,159,3
194,134,2
195,102,1
196,75,3
196,96,5
196,135,2
197,70,1
197,100,4
197,101,1
197,104,1
197,128,5
197,135,5
198,87,1
199,71,3
199,73,1
199,129,5
199,162,1
199,166,4
200,126,2
200,130,5
201,87,1
201,133,1
202,97,4
202,98,3
202,103,4
202,113,4
202,173,2
203,155,1
204,63,2
205,119,4
205,150,5
205,152,5
205,155,1
206,114,3
206,136,3
206,137,4
206,170,4
207,74,5
207,85,2
207,103,3
208,67,4
208,99,3
208,107,2
208,144,1
208,160,3
208,161,1
209,63,5
209,115,1
209,156,1
210,109,1
210,150,5
211,118,1
211,138,5
212,137,4
212,147,4
213,105,1
213,106,2
213,126,3
213,133,5
214,88,2
215,90,2
215,152,3
215,161,4
216,81,1
216,94,3
217,64,4
217,151,2
218,70,3
218,176,1
219,62,3
219,64,4
219,68,1
219,95,2
220,74,2
220,122,1
220,126,5
220,127,1
220,155,1
221,68,1
221,149,4
222,84,1
223,89,5
223,95,4
223,101,4
223,154,1
224,123,3
224,145,3
224,160,4
224,164,2
224,176,1
225,149,4
226,125,1
226,154,4
226,166,5
227,67,2
227,120,1
228,114,5
229,83,3
230,135,5
230,144,5
230,152,3
231,83,1
231,131,3
232,128,4
232,149,1
233,97,4
233,107,2
233,109,4
233,123,2
233,127,1
234,90,2
234,117,2
235,63,5
235,171,3
236,113,1
236,115,4
236,161,2
237,62,1
237,91,5
237,118,2
238,66,3
238,73,1
238,76,3
238,83,3
238,140,1
239,124,1
240,75,3
241,112,2
242,94,1
242,113,5
243,96,2
243,124,1
243,141,4
243,158,5
243,165,3
244,91,3
245,85,2
245,174,5
246,74,2
246,133,2
247,94,2
247,94,5
247,107,1
247,127,2
247,169,4
247,175,5
248,83,2
248,117,2
248,132,5
249,64,5
249,113,4
250,130,1
251,70,5
251,92,2
251,153,5
252,107,4
252,164,5
253,135,2
253,146,4
254,117,4
254,163,2
255,77,1
255,94,1
255,130,1
255,175,3
256,70,5
256,73,4
256,106,4
256,144,2
257,61,5
257,102,2
257,115,2
258,89,1
258,116,5
259,158,2
260,73,3
260,118,5
260,119,4
260,123,5
260,135,1
261,65,1
261,79,3
261,90,3
261,97,2
261,112,3
261,135,4
262,73,4
262,110,1
262,110,5
262,138,5
262,169,5
263,115,2
263,146,4
263,170,4
264,101,2
264,107,3
264,122,5
265,122,2
265,129,1
266,68,2
266,129,2
266,131,4
266,158,3
267,74,5
267,82,3
267,96,4
267,124,1
268,110,5
268,169,4
269,86,5
269,113,4
269,129,2
269,138,1
269,139,2
269,153,5
270,62,5
270,91,4
270,153,4
271,72,5
271,116,2
271,134,2
271,143,3
272,168,4
273,89,5
273,108,2
273,118,1
273,123,3
273,154,5
274,66,3
274,83,4
274,108,1
274,140,4
274,145,2
274,158,3
275,155,5
276,91,3
277,175,3
278,134,3
278,136,3
279,78,5
279,80,2
279,162,5
280,84,5
280,161,1
281,61,1
281,87,1
281,131,5
282,85,5
282,119,2
282,127,2
282,135,2
282,147,4
282,158,5
282,173,4
283,90,2
283,166,2
284,64,2
284,77,1
285,137,1
285,149,2
285,153,3
286,84,1
286,128,2
287,150,3
288,66,4
288,76,3
289,93,5
290,70,1
290,79,5
290,98,1
291,137,3
291,169,4
292,97,3
293,118,1
293,136,1
293,176,3
294,83,3
294,99,1
295,145,1
296,77,3
